text,"{
    ""transactions"": [
        {
            ""date"": ""04/01/16"",
            ""description"": ""Cash App Transfer Conf# Qugtdt5ft; Sasha Sofee"",
            ""amount"": 156.87
        },
        {
            ""date"": ""04/07/16"",
            ""description"": ""ACH Direct Deposit There & Safe Logistics LLC, Ref#45250285"",
            ""amount"": 2976.74
        },
        {
            ""date"": ""04/10/16"",
            ""description"": ""Zelle Transfer Conf# Wnkugku; Maria Loger"",
            ""amount"": 45.19
        },
        {
            ""date"": ""04/14/16"",
            ""description"": ""Cash Deposit"",
            ""amount"": 50.00
        },
        {
            ""date"": ""04/21/16"",
            ""description"": ""ACH Direct Deposit There & Safe Logistics LLC, Ref#45250285"",
            ""amount"": 2976.74
        },
        {
            ""date"": ""04/24/16"",
            ""description"": ""Zelle Transfer Conf# Yyftdtfuui; MACK"",
            ""amount"": 185.22
        },
        {
            ""date"": ""04/28/16"",
            ""description"": ""Cash Deposit"",
            ""amount"": 70.00
        },
        {
            ""date"": ""04/30/16"",
            ""description"": ""Zelle Transfer Conf# Rftftf8f5; Marry Fariy"",
            ""amount"": 56.82
        },
        {
            ""date"": ""04/01/16"",
            ""description"": ""PMNT SENT 0401 CASH APP*LECHE SI 4153753176 FL -25.00""
        },
        {
            ""date"": ""04/01/16"",
            ""description"": ""BKOFAMERICA 04/01 IN BRANCH WITHDRWL TAMPA FL -400.00""
        },
        {
            ""date"": ""04/02/16"",
            ""description"": ""CHECKCARD 0401 Wawa 4329 TAMPA FL -28.69""
        },
        {
            ""date"": ""04/02/16"",
            ""description"": ""CHECKCARD 0401 Oceanic Oriental Supermarket 169 TAMPA FL -74.66""
        },
        {
            ""date"": ""04/03/16"",
            ""description"": ""BKOFAMERICA 04/03 IN BRANCH WITHDRWL TAMPA FL -970.00""
        },
        {
            ""date"": ""04/03/16"",
            ""description"": ""PMNT SENT 0402 CASH APP*LECHE SI 4153753176 FL -25.49""
        },
        {
            ""date"": ""04/04/16"",
            ""description"": ""PURCHASE 0403 LYFT *RIDE THU 8552800278 FL -8.99""
        },
        {
            ""date"": ""04/05/16"",
            ""description"": ""PMNT SENT 0404 CASH APP*LECHE SI 4153753176 FL -7.35""
        },
        {
            ""date"": ""04/07/16"",
            ""description"": ""Zelle Transfer Conf# kwapx7s63; Shawen Markal"",
            ""amount"": -37.49
        },
        {
            ""date"": ""04/08/16"",
            ""description"": ""CHECKCARD 0407 City Bike Tampa 289 TAMPA FL -26.00""
        },
        {
            ""date"": ""04/08/16"",
            ""description"": ""PMNT SENT 0407 CASH APP*HOUPETE 4153753176 FL -9.14""
        },
        {
            ""date"": ""04/09/16"",
            ""description"": ""PURCHASE 0408 LYFT *CANCEL FE 8552800278 FL -3.53""
        },
        {
            ""date"": ""04/10/16"",
            ""description"": ""BKOFAMERICA 04/10 IN BRANCH WITHDRWL TAMPA FL -730.00""
        },
        {
            ""date"": ""04/10/16"",
            ""description"": ""PMNT SENT 0410 CASH APP*LECHE SI 4153753176 FL -15.23""
        },
        {
            ""date"": ""04/13/16"",
            ""description"": ""PMNT SENT 0412 CASH APP*HOUPETE 4153753176 FL -75.50""
        },
        {
            ""date"": ""04/13/16"",
            ""description"": ""PURCHASE 0412 LYFT *RIDE FRI 8552800278 FL -3.12""
        },
        {
            ""date"": ""04/17/16"",
            ""description"": ""CHECKCARD 0417 The Home Depot 278 TAMPA FL -8.71""
        }
    ]
}"
additional_kwargs,{'tool_calls': []}
raw,"{'model': 'llama3.1:latest', 'created_at': '2024-09-21T19:38:12.4392753Z', 'message': {'role': 'assistant', 'content': '{\n    ""transactions"": [\n        {\n            ""date"": ""04/01/16"",\n            ""description"": ""Cash App Transfer Conf# Qugtdt5ft; Sasha Sofee"",\n            ""amount"": 156.87\n        },\n        {\n            ""date"": ""04/07/16"",\n            ""description"": ""ACH Direct Deposit There & Safe Logistics LLC, Ref#45250285"",\n            ""amount"": 2976.74\n        },\n        {\n            ""date"": ""04/10/16"",\n            ""description"": ""Zelle Transfer Conf# Wnkugku; Maria Loger"",\n            ""amount"": 45.19\n        },\n        {\n            ""date"": ""04/14/16"",\n            ""description"": ""Cash Deposit"",\n            ""amount"": 50.00\n        },\n        {\n            ""date"": ""04/21/16"",\n            ""description"": ""ACH Direct Deposit There & Safe Logistics LLC, Ref#45250285"",\n            ""amount"": 2976.74\n        },\n        {\n            ""date"": ""04/24/16"",\n            ""description"": ""Zelle Transfer Conf# Yyftdtfuui; MACK"",\n            ""amount"": 185.22\n        },\n        {\n            ""date"": ""04/28/16"",\n            ""description"": ""Cash Deposit"",\n            ""amount"": 70.00\n        },\n        {\n            ""date"": ""04/30/16"",\n            ""description"": ""Zelle Transfer Conf# Rftftf8f5; Marry Fariy"",\n            ""amount"": 56.82\n        },\n        {\n            ""date"": ""04/01/16"",\n            ""description"": ""PMNT SENT 0401 CASH APP*LECHE SI 4153753176 FL -25.00""\n        },\n        {\n            ""date"": ""04/01/16"",\n            ""description"": ""BKOFAMERICA 04/01 IN BRANCH WITHDRWL TAMPA FL -400.00""\n        },\n        {\n            ""date"": ""04/02/16"",\n            ""description"": ""CHECKCARD 0401 Wawa 4329 TAMPA FL -28.69""\n        },\n        {\n            ""date"": ""04/02/16"",\n            ""description"": ""CHECKCARD 0401 Oceanic Oriental Supermarket 169 TAMPA FL -74.66""\n        },\n        {\n            ""date"": ""04/03/16"",\n            ""description"": ""BKOFAMERICA 04/03 IN BRANCH WITHDRWL TAMPA FL -970.00""\n        },\n        {\n            ""date"": ""04/03/16"",\n            ""description"": ""PMNT SENT 0402 CASH APP*LECHE SI 4153753176 FL -25.49""\n        },\n        {\n            ""date"": ""04/04/16"",\n            ""description"": ""PURCHASE 0403 LYFT *RIDE THU 8552800278 FL -8.99""\n        },\n        {\n            ""date"": ""04/05/16"",\n            ""description"": ""PMNT SENT 0404 CASH APP*LECHE SI 4153753176 FL -7.35""\n        },\n        {\n            ""date"": ""04/07/16"",\n            ""description"": ""Zelle Transfer Conf# kwapx7s63; Shawen Markal"",\n            ""amount"": -37.49\n        },\n        {\n            ""date"": ""04/08/16"",\n            ""description"": ""CHECKCARD 0407 City Bike Tampa 289 TAMPA FL -26.00""\n        },\n        {\n            ""date"": ""04/08/16"",\n            ""description"": ""PMNT SENT 0407 CASH APP*HOUPETE 4153753176 FL -9.14""\n        },\n        {\n            ""date"": ""04/09/16"",\n            ""description"": ""PURCHASE 0408 LYFT *CANCEL FE 8552800278 FL -3.53""\n        },\n        {\n            ""date"": ""04/10/16"",\n            ""description"": ""BKOFAMERICA 04/10 IN BRANCH WITHDRWL TAMPA FL -730.00""\n        },\n        {\n            ""date"": ""04/10/16"",\n            ""description"": ""PMNT SENT 0410 CASH APP*LECHE SI 4153753176 FL -15.23""\n        },\n        {\n            ""date"": ""04/13/16"",\n            ""description"": ""PMNT SENT 0412 CASH APP*HOUPETE 4153753176 FL -75.50""\n        },\n        {\n            ""date"": ""04/13/16"",\n            ""description"": ""PURCHASE 0412 LYFT *RIDE FRI 8552800278 FL -3.12""\n        },\n        {\n            ""date"": ""04/17/16"",\n            ""description"": ""CHECKCARD 0417 The Home Depot 278 TAMPA FL -8.71""\n        }\n    ]\n}'}, 'done_reason': 'stop', 'done': True, 'total_duration': 14324064200, 'load_duration': 2197971400, 'prompt_eval_count': 903, 'prompt_eval_duration': 261123000, 'eval_count': 1063, 'eval_duration': 11863905000, 'usage': {'prompt_tokens': 903, 'completion_tokens': 1063, 'total_tokens': 1966}}"
logprobs,
delta,
text,"{
    ""transactions"": [
        {
            ""date"": ""04/01/16"",
            ""description"": ""Cash App Transfer Conf# Qugtdt5ft; Sasha Sofee"",
            ""amount"": 156.87
        },
        {
            ""date"": ""04/07/16"",
            ""description"": ""ACH Direct Deposit There & Safe Logistics LLC, Ref#45250285"",
            ""amount"": 2976.74
        },
        {
            ""date"": ""04/10/16"",
            ""description"": ""Zelle Transfer Conf# Wnkugku; Maria Loger"",
            ""amount"": 45.19
        },
        {
            ""date"": ""04/14/16"",
            ""description"": ""Cash Deposit"",
            ""amount"": 50.00
        },
        {
            ""date"": ""04/21/16"",
            ""description"": ""ACH Direct Deposit There & Safe Logistics LLC, Ref#45250285"",
            ""amount"": 2976.74
        },
        {
            ""date"": ""04/24/16"",
            ""description"": ""Zelle Transfer Conf# Yyftdtfuui; MACK"",
            ""amount"": 185.22
        },
        {
            ""date"": ""04/28/16"",
            ""description"": ""Cash Deposit"",
            ""amount"": 70.00
        },
        {
            ""date"": ""04/30/16"",
            ""description"": ""Zelle Transfer Conf# Rftftf8f5; Marry Fariy"",
            ""amount"": 56.82
        },
        {
            ""date"": ""04/01/16"",
            ""description"": ""PMNT SENT 0401 CASH APP*LECHE SI 4153753176 FL -25.00""
        },
        {
            ""date"": ""04/01/16"",
            ""description"": ""BKOFAMERICA 04/01 IN BRANCH WITHDRWL TAMPA FL -400.00""
        },
        {
            ""date"": ""04/02/16"",
            ""description"": ""CHECKCARD 0401 Wawa 4329 TAMPA FL -28.69""
        },
        {
            ""date"": ""04/02/16"",
            ""description"": ""CHECKCARD 0401 Oceanic Oriental Supermarket 169 TAMPA FL -74.66""
        },
        {
            ""date"": ""04/03/16"",
            ""description"": ""BKOFAMERICA 04/03 IN BRANCH WITHDRWL TAMPA FL -970.00""
        },
        {
            ""date"": ""04/03/16"",
            ""description"": ""PMNT SENT 0402 CASH APP*LECHE SI 4153753176 FL -25.49""
        },
        {
            ""date"": ""04/04/16"",
            ""description"": ""PURCHASE 0403 LYFT *RIDE THU 8552800278 FL -8.99""
        },
        {
            ""date"": ""04/05/16"",
            ""description"": ""PMNT SENT 0404 CASH APP*LECHE SI 4153753176 FL -7.35""
        },
        {
            ""date"": ""04/07/16"",
            ""description"": ""Zelle Transfer Conf# kwapx7s63; Shawen Markal"",
            ""amount"": -37.49
        },
        {
            ""date"": ""04/08/16"",
            ""description"": ""CHECKCARD 0407 City Bike Tampa 289 TAMPA FL -26.00""
        },
        {
            ""date"": ""04/08/16"",
            ""description"": ""PMNT SENT 0407 CASH APP*HOUPETE 4153753176 FL -9.14""
        },
        {
            ""date"": ""04/09/16"",
            ""description"": ""PURCHASE 0408 LYFT *CANCEL FE 8552800278 FL -3.53""
        },
        {
            ""date"": ""04/10/16"",
            ""description"": ""BKOFAMERICA 04/10 IN BRANCH WITHDRWL TAMPA FL -730.00""
        },
        {
            ""date"": ""04/10/16"",
            ""description"": ""PMNT SENT 0410 CASH APP*LECHE SI 4153753176 FL -15.23""
        },
        {
            ""date"": ""04/13/16"",
            ""description"": ""PMNT SENT 0412 CASH APP*HOUPETE 4153753176 FL -75.50""
        },
        {
            ""date"": ""04/13/16"",
            ""description"": ""PURCHASE 0412 LYFT *RIDE FRI 8552800278 FL -3.12""
        },
        {
            ""date"": ""04/17/16"",
            ""description"": ""CHECKCARD 0417 The Home Depot 278 TAMPA FL -8.71""
        }
    ]
}"
additional_kwargs,{'tool_calls': []}
raw,"{'model': 'llama3.1:latest', 'created_at': '2024-09-21T19:44:04.2249872Z', 'message': {'role': 'assistant', 'content': '{\n    ""transactions"": [\n        {\n            ""date"": ""04/01/16"",\n            ""description"": ""Cash App Transfer Conf# Qugtdt5ft; Sasha Sofee"",\n            ""amount"": 156.87\n        },\n        {\n            ""date"": ""04/07/16"",\n            ""description"": ""ACH Direct Deposit There & Safe Logistics LLC, Ref#45250285"",\n            ""amount"": 2976.74\n        },\n        {\n            ""date"": ""04/10/16"",\n            ""description"": ""Zelle Transfer Conf# Wnkugku; Maria Loger"",\n            ""amount"": 45.19\n        },\n        {\n            ""date"": ""04/14/16"",\n            ""description"": ""Cash Deposit"",\n            ""amount"": 50.00\n        },\n        {\n            ""date"": ""04/21/16"",\n            ""description"": ""ACH Direct Deposit There & Safe Logistics LLC, Ref#45250285"",\n            ""amount"": 2976.74\n        },\n        {\n            ""date"": ""04/24/16"",\n            ""description"": ""Zelle Transfer Conf# Yyftdtfuui; MACK"",\n            ""amount"": 185.22\n        },\n        {\n            ""date"": ""04/28/16"",\n            ""description"": ""Cash Deposit"",\n            ""amount"": 70.00\n        },\n        {\n            ""date"": ""04/30/16"",\n            ""description"": ""Zelle Transfer Conf# Rftftf8f5; Marry Fariy"",\n            ""amount"": 56.82\n        },\n        {\n            ""date"": ""04/01/16"",\n            ""description"": ""PMNT SENT 0401 CASH APP*LECHE SI 4153753176 FL -25.00""\n        },\n        {\n            ""date"": ""04/01/16"",\n            ""description"": ""BKOFAMERICA 04/01 IN BRANCH WITHDRWL TAMPA FL -400.00""\n        },\n        {\n            ""date"": ""04/02/16"",\n            ""description"": ""CHECKCARD 0401 Wawa 4329 TAMPA FL -28.69""\n        },\n        {\n            ""date"": ""04/02/16"",\n            ""description"": ""CHECKCARD 0401 Oceanic Oriental Supermarket 169 TAMPA FL -74.66""\n        },\n        {\n            ""date"": ""04/03/16"",\n            ""description"": ""BKOFAMERICA 04/03 IN BRANCH WITHDRWL TAMPA FL -970.00""\n        },\n        {\n            ""date"": ""04/03/16"",\n            ""description"": ""PMNT SENT 0402 CASH APP*LECHE SI 4153753176 FL -25.49""\n        },\n        {\n            ""date"": ""04/04/16"",\n            ""description"": ""PURCHASE 0403 LYFT *RIDE THU 8552800278 FL -8.99""\n        },\n        {\n            ""date"": ""04/05/16"",\n            ""description"": ""PMNT SENT 0404 CASH APP*LECHE SI 4153753176 FL -7.35""\n        },\n        {\n            ""date"": ""04/07/16"",\n            ""description"": ""Zelle Transfer Conf# kwapx7s63; Shawen Markal"",\n            ""amount"": -37.49\n        },\n        {\n            ""date"": ""04/08/16"",\n            ""description"": ""CHECKCARD 0407 City Bike Tampa 289 TAMPA FL -26.00""\n        },\n        {\n            ""date"": ""04/08/16"",\n            ""description"": ""PMNT SENT 0407 CASH APP*HOUPETE 4153753176 FL -9.14""\n        },\n        {\n            ""date"": ""04/09/16"",\n            ""description"": ""PURCHASE 0408 LYFT *CANCEL FE 8552800278 FL -3.53""\n        },\n        {\n            ""date"": ""04/10/16"",\n            ""description"": ""BKOFAMERICA 04/10 IN BRANCH WITHDRWL TAMPA FL -730.00""\n        },\n        {\n            ""date"": ""04/10/16"",\n            ""description"": ""PMNT SENT 0410 CASH APP*LECHE SI 4153753176 FL -15.23""\n        },\n        {\n            ""date"": ""04/13/16"",\n            ""description"": ""PMNT SENT 0412 CASH APP*HOUPETE 4153753176 FL -75.50""\n        },\n        {\n            ""date"": ""04/13/16"",\n            ""description"": ""PURCHASE 0412 LYFT *RIDE FRI 8552800278 FL -3.12""\n        },\n        {\n            ""date"": ""04/17/16"",\n            ""description"": ""CHECKCARD 0417 The Home Depot 278 TAMPA FL -8.71""\n        }\n    ]\n}'}, 'done_reason': 'stop', 'done': True, 'total_duration': 14569924600, 'load_duration': 2482113600, 'prompt_eval_count': 903, 'prompt_eval_duration': 260587000, 'eval_count': 1063, 'eval_duration': 11825965000, 'usage': {'prompt_tokens': 903, 'completion_tokens': 1063, 'total_tokens': 1966}}"
logprobs,
delta,
